"Bot Name:","Travel bot"
"Report name:","Developer defined utterances"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.3","80","95","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","2","60","",""
"","rr","","","","true","2","","",""
"Last tested date and time:","09-22-2022 5:32:13 PM"
"Utterance count:","32"
"Percentage breakdown:","100.00% True Positive","0.00% True Negative","0.00% False Positive","0.00% False Negative"
"Success / Failure Ratio:","100.00"
"F1 Score:","1.00"
"Precision:","1.00"
"Recall:","1.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Matched Intent's Score","Expected Intent's Score"
"I need help with this","Menu","menu","None","configured","TP","ML: 100","ML: 100"
"List your services","Menu","menu","None","configured","TP","ML: 100; RR: 11643.33","ML: 100; RR: 11643.33"
"How can you help me","Menu","menu","None","configured","TP","ML: 100; RR: 11054.52","ML: 100; RR: 11054.52"
"need a cab for whole day","Book Cab","book cab","None","configured","TP","ML: 100; FM: 11813.33; RR: 12278.97","ML: 100; FM: 11813.33; RR: 12278.97"
"want to travel by cab","Book Cab","book cab","None","configured","TP","ML: 100; FM: 11263.33; RR: 12033.81","ML: 100; FM: 11263.33; RR: 12033.81"
"i need a cab to travel","Book Cab","book cab","None","configured","TP","ML: 100; FM: 11665.71; RR: 12182.22","ML: 100; FM: 11665.71; RR: 12182.22"
"going for a trip so need a cab","Book Cab","book cab","None","configured","TP","ML: 100; FM: 11384.04; RR: 12334.88","ML: 100; FM: 11384.04; RR: 12334.88"
"need a big cab going out of town","Book Cab","book cab","None","configured","TP","ML: 100; FM: 6815.71; RR: 10923.68","ML: 100; FM: 6815.71; RR: 10923.68"
"need to check the booking under the number +111111111111","View Details","view details","None","configured","TP","ML: 100; FM: 2250; RR: 10876.06","ML: 100; FM: 2250; RR: 10876.06"
"Is there any bookings under +911234567890","View Details","view details","None","configured","TP","ML: 100; FM: 6385.71; RR: 12306.51","ML: 100; FM: 6385.71; RR: 12306.51"
"can i see the bookings under +911123456789","View Details","view details","None","configured","TP","ML: 100; FM: 11533.33; RR: 11593.33","ML: 100; FM: 11533.33; RR: 11593.33"
"Feed Back","feedback","feedback","None","configured","TP","ML: 100; RR: 11910","ML: 100; RR: 11910"
"I want to check my bookings","View Details","view details","None","configured","TP","ML: 100; FM: 11057.94; RR: 11630","ML: 100; FM: 11057.94; RR: 11630"
"see my bookings","View Details","view details","None","configured","TP","ML: 100; FM: 11783.33; RR: 11783.33","ML: 100; FM: 11783.33; RR: 11783.33"
"no","feedback","feedback","None","configured","TP","ML: 100","ML: 100"
"nothing","feedback","feedback","None","configured","TP","ML: 100; RR: 7930","ML: 100; RR: 7930"
"feedback","feedback","feedback","None","configured","TP","ML: 100; FM: 7930; RR: 7930","ML: 100; FM: 7930; RR: 7930"
"book some flight for the trip","Book Flight","book flight","None","configured","TP","ML: 100; FM: 11843.33; RR: 12275.63","ML: 100; FM: 11843.33; RR: 12275.63"
"i want to book a flight","Book Flight","book flight","None","configured","TP","ML: 100; FM: 11117.94; RR: 11117.94","ML: 100; FM: 11117.94; RR: 11117.94"
"thank you","feedback","feedback","None","configured","TP","ML: 100","ML: 100"
"i need a flight to travel to another country","Book Flight","book flight","None","configured","TP","ML: 100; FM: 11665.71; RR: 12522.57","ML: 100; FM: 11665.71; RR: 12522.57"
"want to travel overseas with flight","Book Flight","book flight","None","configured","TP","ML: 100; FM: 11102.22; RR: 12278.97","ML: 100; FM: 11102.22; RR: 12278.97"
"need a flight for travel","Book Flight","book flight","None","configured","TP","ML: 100; FM: 11813.33; RR: 12033.81","ML: 100; FM: 11813.33; RR: 12033.81"
"I want to change some information on my booking","Change bookings","change bookings","None","configured","TP","ML: 100; FM: 10765.71; RR: 12849.84","ML: 100; FM: 10765.71; RR: 12849.84"
"There are some changes in my travelling","Change bookings","change bookings","None","configured","TP","ML: 100; RR: 12533.17","ML: 100; RR: 12533.17"
"I need to update my travel plans","Change bookings","change bookings","None","configured","TP","ML: 100; FM: 10769.05; RR: 10981.67","ML: 100; FM: 10769.05; RR: 10981.67"
"I need help with booking","Menu","menu","None","configured","TP","ML: 100; RR: 8820.48","ML: 100; RR: 8820.48"
"changing my plan","Change bookings","change bookings","None","configured","TP","ML: 100; FM: 2150; RR: 11043.33","ML: 100; FM: 2150; RR: 11043.33"
"modifying my plans","Change bookings","change bookings","None","configured","TP","ML: 100; FM: 11183.33","ML: 100; FM: 11183.33"
"Can you help me with booking","Menu","menu","None","configured","TP","ML: 100; RR: 8750","ML: 100; RR: 8750"
"Can you show me the menu","Menu","menu","None","configured","TP","ML: 100; FM: 9674.44; RR: 11008.97","ML: 100; FM: 9674.44; RR: 11008.97"
"I need help","Menu","menu","None","configured","TP","ML: 100; RR: 9263.33","ML: 100; RR: 9263.33"
